Ticket;SLO;Asignado;Grupo de cierre;Fecha de apertura;Fecha de cierre;Categoria;Subcategoria;Nivel1;Nivel2
IM1264061;INC-3-IBM 44004320 APL-BPM-P3;RIVASJU;2-SOPORTE PLATAFORMA BPM WEBMETHODS;09/05/2016;01/12/2016;INCIDENCIA;SERVICIOS DE TECNOLOGIA Y SEGURIDAD;APLICACIONES;BPM - WEBMETHODS
IM1264061;INC-2-IBM 44004320 APL-BPM-P3;RIVASJU;2-SOPORTE PLATAFORMA BPM WEBMETHODS;09/05/2016;01/12/2016;INCIDENCIA;SERVICIOS DE TECNOLOGIA Y SEGURIDAD;APLICACIONES;BPM - WEBMETHODS
IM1513484;INC-2-IBM 44004320 APL-BPM-P3;ELENAVI;2-SOPORTE PLATAFORMA BPM WEBMETHODS;30/11/2016;01/12/2016;INCIDENCIA;SERVICIOS DE TECNOLOGIA Y SEGURIDAD;APLICACIONES;BPM - WEBMETHODS
IM1515914;INC-2-IBM 44004320 APL-MQ-P2;ELENAVI;2-SOPORTE PLATAFORMA MQ;01/12/2016;01/12/2016;INCIDENCIA;SERVICIOS DE TECNOLOGIA Y SEGURIDAD;APLICACIONES;MQ
IM1515919;INC-2-IBM 44004320 APL-MQ-P2;ELENAVI;2-SOPORTE PLATAFORMA MQ;01/12/2016;01/12/2016;INCIDENCIA;SERVICIOS DE TECNOLOGIA Y SEGURIDAD;APLICACIONES;MQ
IM1515234;INC-2-IBM 44004320 APL-WJ-P2;AFUENT3;2-SOPORTE PLATAFORMA WEB;01/12/2016;01/12/2016;INCIDENCIA;SERVICIOS DE TECNOLOGIA Y SEGURIDAD;APLICACIONES;APLICACIONES WEB Y J2EE
IM1497220;INC-2-IBM 44004320 APL-WJ-P3;;GL_SS_IT INCIDENTS;18/11/2016;01/12/2016;INCIDENCIA;SERVICIOS DE TECNOLOGIA Y SEGURIDAD;APLICACIONES;APLICACIONES WEB Y J2EE
IM1500775;INC-2-IBM 44004320 APL-WJ-P3;DRJORGE;2-SOPORTE PLATAFORMA WEB;22/11/2016;02/12/2016;INCIDENCIA;SERVICIOS DE TECNOLOGIA Y SEGURIDAD;APLICACIONES;APLICACIONES WEB Y J2EE
IM1515566;INC-2-IBM 44004320 APL-WJ-P2;ALUISAL;GL_SS_IT INCIDENTS;01/12/2016;05/12/2016;INCIDENCIA;SERVICIOS DE TECNOLOGIA Y SEGURIDAD;OPERACIÓN DE SERVICIOS;INCIDENCIAS
IM1500346;INC-2-IBM 44004320 APL-WJ-P3;ALVARRC;GL_SS_IT INCIDENTS;22/11/2016;07/12/2016;INCIDENCIA;SERVICIOS DE TECNOLOGIA Y SEGURIDAD;APLICACIONES;APLICACIONES WEB Y J2EE
IM1500983;INC-1-IBM 44004320 APL-WJ-P4;;GL_SS_IT INCIDENTS;22/11/2016;07/12/2016;INCIDENCIA;SERVICIOS DE TECNOLOGIA Y SEGURIDAD;APLICACIONES;APLICACIONES WEB Y J2EE
IM1500983;INC-2-IBM 44004320 APL-WJ-P4;;GL_SS_IT INCIDENTS;22/11/2016;07/12/2016;INCIDENCIA;SERVICIOS DE TECNOLOGIA Y SEGURIDAD;APLICACIONES;APLICACIONES WEB Y J2EE
IM1500983;INC-2-IBM 44004320 APL-WJ-P3;;GL_SS_IT INCIDENTS;22/11/2016;07/12/2016;INCIDENCIA;SERVICIOS DE TECNOLOGIA Y SEGURIDAD;APLICACIONES;APLICACIONES WEB Y J2EE
IM1517179;INC-2-IBM 44004320 APL-WJ-P2;DFER15;2-SOPORTE ARQOS;02/12/2016;07/12/2016;INCIDENCIA;SERVICIOS DE TECNOLOGIA Y SEGURIDAD;INFRAESTRUCTURAS PARA DESARROLLO;SERVIDORES DE APLICACIONES CORPORATIVOS
